Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors,12,240.0,44.1,85.5,.516,13.8,33.7,.408,30.3,51.8,.585,17.2,21.1,.814,9.3,35.8,45.0,31.0,8.4,8.8,17.0,21.5,119.1
2,Indiana Pacers,13,240.0,41.8,87.4,.478,9.7,25.3,.383,32.1,62.1,.517,15.8,20.8,.756,9.2,33.7,42.9,23.4,7.8,3.8,14.6,20.1,109.0
3,Phoenix Suns,13,240.0,37.8,87.5,.433,8.5,25.7,.332,29.3,61.8,.474,21.9,28.5,.768,10.9,34.8,45.7,17.8,7.2,5.2,16.2,25.0,106.2
4,Boston Celtics,13,240.0,36.8,84.8,.433,10.9,30.8,.355,25.8,54.1,.478,18.3,23.8,.768,10.7,36.9,47.6,22.4,8.4,4.1,14.5,20.8,102.8
5,Brooklyn Nets,12,240.0,39.3,91.0,.432,11.0,33.4,.329,28.3,57.6,.492,21.3,28.8,.740,10.8,35.1,45.8,21.8,8.9,4.3,15.8,21.6,111.0
6,Orlando Magic,12,240.0,41.1,86.0,.478,12.0,29.3,.410,29.1,56.8,.512,16.7,22.0,.758,7.9,34.3,42.2,25.3,8.5,5.2,15.9,20.5,110.8
7,Houston Rockets,12,240.0,37.9,82.8,.458,15.2,44.7,.340,22.8,38.2,.596,19.5,24.2,.807,9.3,34.6,43.8,21.9,8.8,4.9,16.9,21.4,110.5
8,Cleveland Cavaliers,12,240.0,40.1,83.3,.481,10.3,29.2,.351,29.8,54.2,.551,19.8,24.2,.817,8.8,32.0,40.8,21.8,6.4,4.1,15.8,20.3,110.2
9,New Orleans Pelicans,12,242.1,39.8,85.9,.463,10.5,31.1,.338,29.3,54.8,.533,17.3,23.1,.747,9.1,36.5,45.6,24.7,8.3,5.1,16.2,21.3,107.3
10,Denver Nuggets,12,240.0,39.9,86.8,.460,10.1,27.7,.364,29.8,59.2,.504,16.3,22.4,.725,11.2,33.9,45.1,24.1,8.3,4.7,16.0,19.0,106.2
11,Detroit Pistons,12,240.0,40.7,87.9,.463,10.4,28.2,.370,30.3,59.8,.506,14.3,18.8,.761,11.4,31.5,42.9,22.2,8.9,3.1,14.5,19.3,106.1
12,Portland Trail Blazers,12,242.1,37.8,86.9,.434,9.7,25.1,.385,28.1,61.8,.454,20.3,24.6,.827,11.8,36.5,48.3,18.5,6.8,5.7,14.9,21.5,105.5
13,Los Angeles Lakers,12,242.1,40.1,87.3,.459,6.8,23.6,.290,33.3,63.7,.522,17.7,24.3,.729,9.3,36.9,46.3,22.0,8.3,5.6,17.9,22.2,104.7
14,Charlotte Hornets,12,240.0,37.3,84.7,.441,9.7,26.9,.359,27.7,57.8,.479,19.1,28.1,.680,10.0,37.9,47.9,19.5,5.8,4.3,13.8,19.6,103.4
15,Oklahoma City Thunder,12,240.0,38.7,86.5,.447,11.0,31.7,.347,27.7,54.8,.505,14.9,20.8,.719,11.0,31.1,42.1,21.3,10.8,5.8,15.2,22.3,103.3
16,Atlanta Hawks,12,240.0,38.4,86.4,.445,9.9,26.1,.380,28.5,60.3,.472,16.4,20.3,.807,8.9,33.3,42.2,21.7,8.8,4.4,15.4,21.8,103.2
17,Washington Wizards,11,242.3,40.2,86.5,.464,9.8,26.3,.374,30.4,60.3,.504,21.2,27.5,.772,10.0,33.1,43.1,23.0,8.3,4.7,15.5,22.5,111.4
18,Miami Heat,12,242.1,38.2,84.3,.453,10.8,30.8,.351,27.3,53.4,.512,14.7,18.9,.775,8.2,35.3,43.5,20.2,8.1,5.4,17.3,22.3,101.8
19,Toronto Raptors,11,240.0,40.3,85.5,.471,10.5,31.7,.330,29.8,53.8,.554,19.1,24.7,.772,9.1,32.8,41.9,22.4,8.5,5.2,14.5,23.1,110.1
20,San Antonio Spurs,12,240.0,38.3,86.3,.443,8.3,23.2,.360,29.9,63.2,.474,15.7,20.8,.752,11.8,34.0,45.8,22.8,8.1,6.3,14.8,17.1,100.5
21,Minnesota Timberwolves,11,242.3,39.8,85.2,.467,8.5,23.1,.366,31.4,62.1,.505,20.5,26.0,.790,10.5,32.1,42.6,22.5,8.8,3.7,16.2,18.5,108.6
22,Dallas Mavericks,12,240.0,35.8,84.4,.424,12.0,32.4,.370,23.8,52.0,.458,15.5,20.5,.756,9.0,32.0,41.0,20.7,6.8,3.7,14.8,19.3,99.2
23,Los Angeles Clippers,11,240.0,38.7,85.3,.454,10.6,29.5,.361,28.1,55.8,.503,19.7,26.3,.751,12.8,33.8,46.6,19.5,7.9,4.1,15.3,21.6,107.8
24,Philadelphia 76ers,11,240.0,39.8,87.7,.454,12.5,31.4,.400,27.3,56.4,.484,15.2,21.7,.699,10.8,37.6,48.5,25.9,8.3,4.5,18.4,26.1,107.4
25,Utah Jazz,12,242.1,34.9,81.8,.427,9.8,28.3,.344,25.2,53.5,.470,17.3,20.9,.829,8.4,32.4,40.8,19.3,9.9,6.3,17.0,20.5,97.0
26,New York Knicks,11,240.0,40.6,84.9,.479,8.2,24.2,.338,32.5,60.7,.534,15.9,20.7,.768,10.9,33.8,44.7,23.5,7.2,4.7,16.9,21.5,105.4
27,Milwaukee Bucks,11,240.0,40.1,82.2,.488,10.4,26.5,.392,29.7,55.7,.533,13.8,18.1,.764,6.5,31.8,38.4,25.1,7.3,4.7,14.8,22.8,104.4
28,Memphis Grizzlies,11,240.0,35.7,80.5,.444,10.0,29.5,.338,25.7,51.0,.504,20.0,25.5,.786,7.4,32.5,39.8,19.4,7.9,5.7,13.1,22.6,101.5
29,Sacramento Kings,11,240.0,37.5,85.4,.439,7.9,21.7,.364,29.5,63.6,.464,12.4,16.8,.735,9.0,31.7,40.7,20.4,7.5,3.6,15.4,20.3,95.2
30,Chicago Bulls,10,242.5,35.1,86.9,.404,10.2,31.7,.322,24.9,55.2,.451,13.2,17.0,.776,10.7,36.8,47.5,22.0,7.0,3.7,16.2,17.6,93.6
,League Average,12,240.6,38.9,85.6,.454,10.3,28.8,.358,28.6,56.9,.503,17.4,22.7,.765,9.8,34.2,44.0,22.2,8.1,4.9,15.7,21.1,105.5
